Numero de point;Latitude;Longitude;Modele;PLUVIOMETRIE moyenne des 17 fichiers;PLUVIO EXCEPTIONNELLE moyenne des 17 fichiers
2893;42,9426;-1,039;GWL20;2033,768235;91,35235294
2894;42,9457;-0,9413;GWL20;2109,859412;92,78941176
2895;42,9486;-0,8436;GWL20;2139,807647;93,99058824
2896;42,9515;-0,7458;GWL20;2377,051176;105,0482353
2897;42,9543;-0,6481;GWL20;1833,118824;89,24058824
2898;42,9569;-0,5503;GWL20;1965,412353;95,97058824
2899;42,9595;-0,4525;GWL20;1951,344118;95,95529412
2900;42,962;-0,3547;GWL20;2081,568824;101,5405882
2901;42,9645;-0,2569;GWL20;1276,826471;72,42117647
2902;42,9668;-0,1591;GWL20;1205,078824;67,21705882
2903;42,969;-0,0613;GWL20;1141,191176;62,68764706
2904;42,9712;0,0365;GWL20;1353,509412;74,66705882
2905;42,9732;0,1343;GWL20;1335,011176;74,56647059
2906;42,9752;0,2321;GWL20;1221,557647;66,13705882
2907;42,9771;0,33;GWL20;1554,817647;65,18176471
2908;42,9789;0,4278;GWL20;1286,340588;62,71823529
2909;42,9806;0,5257;GWL20;1250,109412;59,76705882
2910;42,9822;0,6235;GWL20;1136,735294;58,03117647
2911;42,9837;0,7214;GWL20;950,3111765;50,29941176
2912;42,9851;0,8192;GWL20;1136,036471;53,97470588
2913;42,9865;0,9171;GWL20;1113,968235;53,18647059
2914;42,9877;1,015;GWL20;1108,152941;54,74941176
2915;42,9889;1,1129;GWL20;1022,232941;52,68529412
2916;42,99;1,2108;GWL20;1035,212941;53,42294118
2917;42,9909;1,3086;GWL20;1053,26;58,87
2918;42,9918;1,4065;GWL20;1053,49;58,37941176
2919;42,9927;1,5044;GWL20;1075,792941;59,24352941
2920;42,9934;1,6023;GWL20;1032,736471;55,73470588
2921;42,994;1,7002;GWL20;1060,035882;57,36235294
2922;42,9945;1,7981;GWL20;918,4576471;52,71470588
2923;42,995;1,896;GWL20;904,9911765;52,76235294
2924;42,9953;1,9939;GWL20;884,0711765;54,75294118
